ID	RH_En_Col_0_DT_2	RH_En_Col_0_DT_3	RH_En_Col_0_DT_6	RH_En_gl2_DT_1	RH_En_gl2_DT_4	RH_En_gl2_DT_6	RH_En_rsl2rsl4_DT_1	RH_En_rsl2rsl4_DT_3	RH_En_rsl2rsl4_DT_5	RH_Rhi_Col_0_DT_2	RH_Rhi_Col_0_DT_3	RH_Rhi_Col_0_DT_6	RH_Rhi_gl2_DT_1	RH_Rhi_gl2_DT_4	RH_Rhi_gl2_DT_6	RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_5
K00123	454.966168	547.037914	469.228675	522.81563	484.461385	452.548737	617.832945	621.283626	544.723722	641.675162	617.853211	623.53538	641.614918	632.054992	638.582165	644.248965	632.563543	669.431361
K00124	129.884227	111.652288	128.690662	173.40751	140.409075	153.072597	190.656412	201.655739	189.540539	186.96923	182.25279	175.618761	165.156482	180.189928	174.544753	177.977797	171.464714	186.791042
K00125	1.716606	2.092702	0.451681	2.627678	0.238511	0.948176	3.808292	0.743095	2.33982	0.100446	0.386441	0.690961	0.252478	0.098283	0.079979	0.573822	0.263379	0.076724
K00126	44.206181	32.517819	40.567656	30.538671	37.564722	43.770873	37.687635	34.075444	36.394327	17.255285	21.34317	24.563941	17.868516	35.324372	13.133522	24.852646	12.665386	24.572997
K00127	103.875611	85.470189	95.847802	72.604315	73.606311	68.230764	92.253698	153.040176	78.057945	50.211898	57.694544	67.926007	48.840838	81.45098	52.662107	65.399875	64.397843	78.519248
K00128	665.533704	757.138782	763.034823	724.878433	787.609018	776.576729	653.864475	801.419888	729.741364	706.058535	725.213796	801.731442	729.008545	774.146894	706.141625	766.057181	597.859028	653.799714
K00129	11.844845	13.563566	14.064487	15.120607	12.744602	17.584201	18.34546	11.328931	10.404193	17.360137	18.251957	21.144464	18.5735	15.685266	21.813434	19.452099	17.46135	15.246453
K00130	282.09065	377.99321	272.461122	288.834587	315.238382	302.499827	279.867184	282.882221	297.001336	418.002955	453.548252	418.097918	455.751407	409.758926	411.530037	438.855001	317.351049	382.65308
K00131	22.564313	26.74944	37.24927	29.998324	24.563961	46.223218	23.205173	27.196494	25.950053	30.949666	28.456738	29.051329	30.911694	45.642105	34.299986	31.322567	31.823516	34.161316
K00132	2.558239	5.298276	0.585377	2.258488	2.339075	1.095857	5.824362	4.04223	5.673761	11.815636	9.744133	10.684807	9.527516	6.310769	14.191106	10.256421	14.19373	12.378434
K00133	263.958118	225.204681	265.622537	260.904728	256.986266	272.583993	268.73529	282.819155	225.329965	200.002036	225.218575	230.669807	229.675804	224.290525	213.823805	229.961427	204.208519	224.909139
K00134	248.760494	253.012403	231.063511	240.095408	267.454403	285.601095	237.215119	223.38379	211.010629	269.858744	283.611427	281.855853	297.721516	302.240797	286.533339	271.741198	243.810258	266.743606
K00135	491.670055	494.455111	514.998034	484.536639	477.563532	431.735346	451.621171	529.977328	435.609096	539.619479	573.977508	567.639521	562.045011	502.266057	536.100366	562.059518	411.988463	477.386732
K00137	52.541174	55.727733	32.045596	65.373519	48.30406	54.943188	33.803194	59.246346	74.016744	53.803283	57.035228	50.143919	60.477038	84.611571	55.910201	55.496584	54.884069	57.344162
K00138	108.492291	117.640362	118.496136	116.60933	130.008091	116.632981	98.059962	145.163948	116.798666	92.3695	91.246056	103.709441	98.903416	130.782283	89.996243	105.282544	74.709279	90.29066
K00139	6.865273	0.374696	8.97818	0.15745	0.200238	0.045659	3.407603	3.190557	1.222624	1.253883	0.905628	0.7642	2.437457	0.819377	1.416634	2.543831	1.233057	1.141755
K00140	281.200104	273.563935	305.568627	308.572389	276.364891	271.525818	232.088195	285.206818	298.406044	293.599368	316.179978	317.050729	336.670986	312.660083	301.317104	326.846548	256.647162	295.442209
K00141	56.995461	81.384087	81.131851	81.010881	78.992105	66.206413	64.485007	113.918076	78.715064	41.859188	42.442933	50.127818	44.932001	44.963543	39.515169	42.048988	36.590748	36.075916
K00142	1.318787	0.518583	0.453425	0.725145	1.179509	0.677628	0.735361	0.094761	0.57647	1.581549	0.422991	0.442343	0.825782	0.297278	0.881201	0.456938	1.444961	0.504672
K00143	2.212453	0.106592	1.062476	1.217127	1.315684	0.341638	2.688452	1.893044	2.07043	1.610991	1.010003	1.791217	0.846853	0.644559	1.583141	1.734128	3.120091	2.685662
K00145	197.042909	166.839447	174.081937	197.261955	197.720827	208.468649	204.501565	191.527163	195.042711	172.545836	182.53606	181.871579	177.262051	189.398922	161.91196	175.902333	152.602071	164.523101
K00146	66.509684	94.381278	113.363145	72.299682	70.629821	70.975207	83.546782	59.354993	92.845779	128.402971	127.688431	124.208491	125.045799	118.154107	114.668628	127.51472	101.942528	117.694125
K00147	196.584783	169.108664	199.040161	178.203194	183.178097	180.175721	162.893093	173.206741	178.406037	154.691563	154.292077	182.79843	148.885953	172.782528	155.284661	160.911282	135.750268	149.716734
K00148	38.421268	43.686168	50.971916	49.730323	45.889962	40.660821	40.958086	41.012351	43.804123	83.713503	92.220227	81.296058	107.881264	94.934985	98.396809	89.666522	68.196123	83.363991
K00149	0.793713	2.340531	1.68614	0.309373	0.518461	0.303598	0.215148	0.389024	1.12161	0.653477	0.523615	1.114693	0.168967	0.617025	0.906569	0.560724	1.125964	1.054391
K00150	3.181577	3.617341	2.430155	2.566067	1.499326	1.921737	5.74931	4.620245	2.983223	12.310825	8.600372	9.65555	14.609331	9.382341	13.94038	10.483053	21.941959	12.537164
K00151	89.528066	106.45007	111.249428	79.806575	90.190491	77.827687	59.85703	78.098513	84.585022	59.441226	71.705674	65.843346	60.75809	61.655128	60.083894	60.620168	48.716906	54.090779
