ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Rhodoplanes sp. 25C3	25_C3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	Unassigned	Rhodoplanes sp. 25C3
Sphingopyxis sp. 1F7	1_F7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Unassigned	Sphingopyxis sp. 1F7
Comamonadaceae_Unassigned sp. 9A5	9_A5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 9A5
Ramlibacter sp. 1H10	1_H10	Bacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	Ramlibacter sp. 1H10
Pseudomonas sp. 19D2	19_D2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	Pseudomonas sp. 19D2
Comamonas sp. 18G8	18_G8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned	Comamonas sp. 18G8
Comamonadaceae_Unassigned sp. 1A8	1_A8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 1A8
Devosiaceae_Unassigned sp. 18H9	18_H9	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosiaceae_Unassigned	Unassigned	Devosiaceae_Unassigned sp. 18H9
Brevundimonas sp. 7B12	7_B12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 7B12
Devosia sp. 10B4	10_B4	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned	Devosia sp. 10B4
Ensifer sp. 10C12	10_C12	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Unassigned	Ensifer sp. 10C12
Luteibacter sp. 19A8	19_A8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Unassigned	Luteibacter sp. 19A8
Sphingobium sp. 25H9	25_H9	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unassigned	Sphingobium sp. 25H9
Novosphingobium sp. 1F2	1_F2	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Unassigned	Novosphingobium sp. 1F2
Asticcacaulis sp. 1G7	1_G7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Unassigned	Asticcacaulis sp. 1G7
Pseudoxanthomonas sp. 25E6	25_E6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned	Pseudoxanthomonas sp. 25E6
Lysobacter sp. 20F5	20_F5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 20F5
