ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3488	Bacteria	Actinobacteriota	Microtrichales	Microtrichales	o_Microtrichales|f_uncultured	o_Microtrichales|f_|g_uncultured	Unclassified
ASV3491	Bacteria	Bacteroidota	Sphingobacteriales	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unclassified
ASV3496	Bacteria	Proteobacteria	Micropepsales	Micropepsales	Micropepsaceae	f_Micropepsaceae|g_uncultured	uncultured_Rhizomicrobium
ASV3498	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	Aquabacterium	Aquabacterium_commune
ASV3499	Bacteria	Verrucomicrobiota	Chlamydiales	Chlamydiales	Parachlamydiaceae	Neochlamydia	uncultured_Chlamydiales
ASV3500	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV3502	Bacteria	Acidobacteriota	Subgroup_2	Subgroup_2	Subgroup_2	Subgroup_2	bacterium_Ellin7509
ASV3503	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	Gaiellaceae	Gaiella	uncultured_Conexibacteraceae
ASV3504	Bacteria	Methylomirabilota	Rokubacteriales	Rokubacteriales	Rokubacteriales	Rokubacteriales	uncultured_Firmicutes
ASV3506	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	67-14	67-14	Unclassified
ASV3507	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	uncultured_beta
ASV3508	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_uncultured	o_Vicinamibacterales|f_|g_uncultured	unidentified
ASV3510	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	o_Rhizobiales|f_uncultured	o_Rhizobiales|f_|g_uncultured	uncultured_Hyphomicrobiaceae
ASV3511	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_uncultured	o_Vicinamibacterales|f_|g_uncultured	uncultured_Acidobacterium
ASV3513	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_Unclassified	o_Vicinamibacterales|f_|g_Unclassified	Unclassified
ASV3514	Bacteria	Proteobacteria	Salinisphaerales	Salinisphaerales	Solimonadaceae	Alkanibacter	Unclassified
ASV3515	Bacteria	Methylomirabilota	Rokubacteriales	Rokubacteriales	Rokubacteriales	Rokubacteriales	uncultured_Firmicutes
ASV3516	Bacteria	Actinobacteriota	Propionibacteriales	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified
