Plants, soil_type,group,treat,subgroup,genotype,weight
181,HS,DT,NS,DT_NS,Col_0,56
182,HS,DT,NS,DT_NS,Col_0,53
183,HS,DT,NS,DT_NS,Col_0,60
184,HS,DT,NS,DT_NS,Col_0,59.8
185,HS,DT,NS,DT_NS,Col_0,78.9
186,HS,DT,NS,DT_NS,Col_0,54.5
187,HS,DT,NS,DT_NS,Col_0,102.8
188,HS,DT,NS,DT_NS,Col_0,69.8
189,HS,DT,NS,DT_NS,Col_0,126.8
190,HS,DT,NS,DT_NS,Col_0,128.8
191,HS,DT,NS,DT_NS,Col_0,104.1
192,HS,DT,NS,DT_NS,Col_0,149.8
193,HS,DT,NS,DT_NS,Col_0,127.5
194,HS,DT,NS,DT_NS,Col_0,91.2
195,HS,DT,NS,DT_NS,Col_0,86.3
196,HS,DT,NS,DT_NS,Col_0,155.9
197,HS,DT,NS,DT_NS,Col_0,77.9
198,HS,DT,NS,DT_NS,Col_0,92.7
199,HS,DT,NS,DT_NS,Col_0,41.8
200,HS,DT,NS,DT_NS,Col_0,86.2
201,HS,DT,NS,DT_NS,cpc,18.9
202,HS,DT,NS,DT_NS,cpc,83.1
203,HS,DT,NS,DT_NS,cpc,136.4
204,HS,DT,NS,DT_NS,cpc,54.5
205,HS,DT,NS,DT_NS,cpc,151.8
206,HS,DT,NS,DT_NS,cpc,138.1
207,HS,DT,NS,DT_NS,cpc,120.5
208,HS,DT,NS,DT_NS,cpc,108.4
209,HS,DT,NS,DT_NS,cpc,100.5
210,HS,DT,NS,DT_NS,cpc,118.3
211,HS,DT,NS,DT_NS,cpc,89.1
212,HS,DT,NS,DT_NS,cpc,162.3
213,HS,DT,NS,DT_NS,cpc,124
214,HS,DT,NS,DT_NS,cpc,127.7
215,HS,DT,NS,DT_NS,cpc,55.7
216,HS,DT,NS,DT_NS,cpc,85.5
217,HS,DT,NS,DT_NS,cpc,72.1
218,HS,DT,NS,DT_NS,cpc,88.3
219,HS,DT,NS,DT_NS,cpc,120
220,HS,DT,NS,DT_NS,cpc,108.5
221,HS,DT,NS,DT_NS,gl2,179.1
222,HS,DT,NS,DT_NS,gl2,120.3
223,HS,DT,NS,DT_NS,gl2,114
224,HS,DT,NS,DT_NS,gl2,69.2
225,HS,DT,NS,DT_NS,gl2,120.2
226,HS,DT,NS,DT_NS,gl2,113.2
227,HS,DT,NS,DT_NS,gl2,149.7
228,HS,DT,NS,DT_NS,gl2,113.3
229,HS,DT,NS,DT_NS,gl2,87
230,HS,DT,NS,DT_NS,gl2,87.3
231,HS,DT,NS,DT_NS,gl2,99.2
232,HS,DT,NS,DT_NS,gl2,133.8
233,HS,DT,NS,DT_NS,gl2,140.7
234,HS,DT,NS,DT_NS,gl2,93.6
235,HS,DT,NS,DT_NS,gl2,64.6
236,HS,DT,NS,DT_NS,gl2,80.5
237,HS,DT,NS,DT_NS,gl2,166.1
238,HS,DT,NS,DT_NS,gl2,121.2
239,HS,DT,NS,DT_NS,gl2,110.7
240,HS,DT,NS,DT_NS,gl2,150.6
241,HS,DT,NS,DT_NS,rsl2rsl4,115.2
242,HS,DT,NS,DT_NS,rsl2rsl4,116.7
243,HS,DT,NS,DT_NS,rsl2rsl4,114.8
244,HS,DT,NS,DT_NS,rsl2rsl4,115.1
245,HS,DT,NS,DT_NS,rsl2rsl4,88.4
246,HS,DT,NS,DT_NS,rsl2rsl4,133.6
247,HS,DT,NS,DT_NS,rsl2rsl4,120.9
248,HS,DT,NS,DT_NS,rsl2rsl4,118.9
